company,industry,experience_ai_score,market_cap_bil,revenue_growth_pct,gross_margin_pct,operating_margin_pct
Roblox,Gaming,9.7,33.84431616,39.300000000000004,24.099999999999998,-16.436
Duolingo,Education,9.2,5.928973824,26.5,72.665,15.369000999999999
Match Group,Dating,8.85,8.220313088,3.9,73.877996,27.365000000000002
Peloton,Fitness,8.65,2.35114624,1.0999999999999999,51.959,9.51
Bumble,Dating,8.65,0.423186112,-14.099999999999998,71.884,31.480000000000004
Spotify,Entertainment,8.35,94.449516544,8.200000000000001,32.318002,15.773000000000001
Electronic Arts,Gaming,8.25,50.895028224,11.899999999999999,78.967005,24.009000999999998
Netlix,Entertainment,7.95,306.883002368,16.2,49.029,32.303002
HelloFresh,Food/Cooking,7.75,0.564051072,-13.200000000000001,61.092997000000004,-3.5340000000000003
Airbnb,Travel,7.7,82.609946624,17.9,82.913,3.211
Coursera,Education,7.4,1.520564224,9.1,54.800000000000004,-12.928
Intuit,Personal Finance,7.25,70.509625344,10.4,80.793,46.974
Planet Fitness,Fitness,6.75,4.05634816,19.7,58.792995999999995,32.513002
SoFi,Personal Finance,6.7,21.934876672,42.5,83.507,18.282999999999998
Booking Holdings,Travel,6.6,130.001362944,16.2,86.98700000000001,25.035998
Sweetgreen,Food/Cooking,6.4,0.98864608,-2.9000000000000004,14.354,-20.311001
